Crop,State,Area_ha,Fertilizer_kg_per_ha,Pesticide_kg_per_ha,Yield_t_per_ha,Total_Fertilizer_kg,Total_Pesticide_kg,Total_Yield_t,Temperature_C
muskmelon,Kerala,0.819,135.06,0.477,14.483,110.61,0.391,11.862,31.3
watermelon,Andhra Pradesh,3.563,104.83,0.387,10.064,373.51,1.379,35.858,21.43
papaya,Karnataka,0.84,205.6,0.472,29.662,172.7,0.396,24.916,31.86
papaya,Punjab,2.952,149.77,1.277,19.017,442.12,3.77,56.138,31.94
apple,Chandigarh,0.4,117.99,1.153,13.585,47.2,0.461,5.434,21.53
mango,West Bengal,0.645,297.1,0.591,13.728,191.63,0.381,8.855,32.56
apple,Punjab,1.781,167.86,0.895,9.297,298.96,1.594,16.558,12.3
mothbeans,Ladakh,0.576,21.02,0.344,0.635,12.11,0.198,0.366,27.69
mungbean,Himachal Pradesh,0.396,42.21,0.173,0.575,16.72,0.069,0.228,23.11
lentil,Andhra Pradesh,0.926,44.46,0.119,1.282,41.17,0.11,1.187,19.8
blackgram,Sikkim,3.393,42.07,0.167,0.718,142.74,0.567,2.436,23.83
coconut,Tripura,2.711,489.89,1.067,7.185,1328.09,2.893,19.479,25.84
pomegranate,Uttarakhand,0.809,174.88,1.151,26.246,141.48,0.931,21.233,21.07
jute,Mizoram,7.381,99.23,0.808,3.347,732.42,5.964,24.704,27.63
coconut,Meghalaya,1.284,576.08,0.916,12.688,739.69,1.176,16.291,26.1
pomegranate,Bihar,4.544,221.29,1.391,19.739,1005.54,6.321,89.694,24.36
apple,Andaman and Nicobar Islands,1.388,190.2,0.563,13.99,264.0,0.781,19.418,12.09
maize,Uttar Pradesh,0.917,112.01,0.342,3.712,102.71,0.314,3.404,22.4
papaya,Andaman and Nicobar Islands,0.42,250.44,0.622,36.693,105.18,0.261,15.411,25.95
muskmelon,Arunachal Pradesh,0.569,83.6,0.543,12.339,47.57,0.309,7.021,29.29
coffee,Uttarakhand,4.836,115.06,0.723,1.675,556.43,3.496,8.1,22.33
papaya,Mizoram,1.084,240.46,1.277,40.067,260.66,1.384,43.433,26.49
orange,Maharashtra,2.0,216.54,1.27,24.905,433.08,2.54,49.81,24.43
papaya,Rajasthan,0.594,214.32,1.106,35.937,127.31,0.657,21.347,30.06
chickpea,Sikkim,3.643,23.41,0.222,0.848,85.28,0.809,3.089,24.93
jute,Jammu and Kashmir,1.575,150.61,0.841,3.249,237.21,1.325,5.117,27.73
mungbean,Manipur,0.344,24.65,0.201,1.158,8.48,0.069,0.398,30.47
orange,Odisha,2.156,232.32,0.989,27.962,500.88,2.132,60.286,27.26
pigeonpeas,Nagaland,1.672,60.15,0.223,0.812,100.57,0.373,1.358,29.92
rice,Assam,1.566,108.26,0.738,3.804,169.54,1.156,5.957,28.89
pomegranate,Arunachal Pradesh,2.074,166.54,1.031,14.936,345.4,2.138,30.977,30.44
mothbeans,Ladakh,0.6,38.85,0.235,0.759,23.31,0.141,0.455,32.47
jute,Ladakh,0.776,160.21,0.397,2.26,124.32,0.308,1.754,27.85
lentil,Meghalaya,3.489,30.55,0.101,0.875,106.59,0.352,3.053,11.82
jute,Andaman and Nicobar Islands,0.706,142.97,0.517,2.665,100.94,0.365,1.881,23.37
blackgram,Tripura,1.19,43.11,0.229,0.98,51.3,0.273,1.166,27.46
jute,Madhya Pradesh,1.67,147.21,0.947,2.826,245.84,1.581,4.719,26.32
chickpea,Rajasthan,5.391,35.61,0.274,1.275,191.97,1.477,6.874,17.33
chickpea,Odisha,3.646,34.01,0.313,1.424,124.0,1.141,5.192,17.69
kidneybeans,Andaman and Nicobar Islands,0.725,46.73,0.266,2.122,33.88,0.193,1.538,27.42
papaya,Meghalaya,2.021,208.23,1.186,26.46,420.83,2.397,53.476,24.86
mango,Puducherry,2.734,187.75,0.921,11.843,513.31,2.518,32.379,31.7
blackgram,Tamil Nadu,5.241,23.64,0.372,0.479,123.9,1.95,2.51,29.22
maize,Haryana,1.955,94.09,0.418,3.542,183.95,0.817,6.925,18.31
mungbean,Assam,1.875,38.3,0.14,1.331,71.81,0.262,2.496,23.61
maize,Chhattisgarh,2.304,95.58,0.492,2.931,220.22,1.134,6.753,28.38
pigeonpeas,Haryana,2.539,37.02,0.175,1.704,93.99,0.444,4.326,23.19
coconut,Andaman and Nicobar Islands,1.099,488.97,1.074,11.848,537.38,1.18,13.021,30.37
muskmelon,Odisha,5.136,107.4,0.678,20.939,551.61,3.482,107.543,27.58
maize,Tripura,0.724,108.92,0.522,3.666,78.86,0.378,2.654,19.1
blackgram,Karnataka,1.401,32.59,0.373,1.183,45.66,0.523,1.657,23.04
coffee,Mizoram,1.474,108.23,0.436,0.711,159.53,0.643,1.048,19.66
grapes,Uttarakhand,4.709,232.14,0.602,18.622,1093.15,2.835,87.691,21.64
mungbean,Mizoram,1.211,23.93,0.275,1.333,28.98,0.333,1.614,27.26
coffee,Ladakh,2.41,202.09,0.593,1.668,487.04,1.429,4.02,22.09
kidneybeans,Nagaland,2.912,38.34,0.15,1.279,111.65,0.437,3.724,23.89
cotton,Chandigarh,2.87,184.91,2.458,1.922,530.69,7.054,5.516,26.34
apple,Chandigarh,0.495,129.91,0.941,13.676,64.31,0.466,6.77,16.97
banana,Chhattisgarh,0.858,633.09,1.034,53.523,543.19,0.887,45.923,23.09
blackgram,Jharkhand,1.196,45.2,0.268,0.682,54.06,0.321,0.816,32.78
watermelon,West Bengal,1.32,150.72,0.513,23.045,198.95,0.677,30.419,21.25
coconut,Bihar,0.704,663.7,0.943,9.202,467.24,0.664,6.478,26.72
lentil,Delhi,1.839,20.3,0.306,0.73,37.33,0.563,1.342,19.09
orange,Tamil Nadu,0.624,182.18,1.073,20.027,113.68,0.67,12.497,29.17
papaya,Goa,3.611,274.07,0.719,34.99,989.67,2.596,126.349,30.61
pigeonpeas,Tamil Nadu,0.817,35.31,0.465,1.374,28.85,0.38,1.123,21.85
orange,Haryana,1.026,131.97,0.605,12.947,135.4,0.621,13.284,22.11
rice,Odisha,0.945,131.3,0.522,3.524,124.08,0.493,3.33,28.57
muskmelon,Madhya Pradesh,1.287,152.09,0.822,10.702,195.74,1.058,13.773,30.52
pigeonpeas,Manipur,4.791,36.43,0.377,1.172,174.54,1.806,5.615,20.54
muskmelon,Kerala,1.695,170.6,0.459,18.996,289.17,0.778,32.198,22.55
coconut,Himachal Pradesh,2.592,628.77,0.92,12.096,1629.77,2.385,31.353,31.4
jute,Rajasthan,2.304,139.4,0.943,3.34,321.18,2.173,7.695,27.73
banana,Bihar,2.412,453.91,1.204,46.25,1094.83,2.904,111.555,30.98
blackgram,Puducherry,0.777,22.36,0.382,1.006,17.37,0.297,0.782,26.39
papaya,Assam,0.546,209.37,0.722,31.812,114.32,0.394,17.369,29.09
banana,Chhattisgarh,2.615,590.13,1.067,48.399,1543.19,2.79,126.563,20.16
cotton,Chhattisgarh,1.582,133.85,1.735,1.772,211.75,2.745,2.803,21.96
watermelon,Madhya Pradesh,0.451,139.97,0.939,13.392,63.13,0.423,6.04,24.98
orange,Assam,1.414,291.59,0.644,11.754,412.31,0.911,16.62,18.16
coffee,Andaman and Nicobar Islands,2.736,176.17,0.641,1.384,482.0,1.754,3.787,23.15
chickpea,Haryana,0.507,34.34,0.244,1.106,17.41,0.124,0.561,24.49
rice,Sikkim,1.626,142.75,0.348,3.32,232.11,0.566,5.398,26.85
mothbeans,Uttar Pradesh,1.127,31.19,0.233,0.667,35.15,0.263,0.752,28.53
orange,Himachal Pradesh,1.854,171.57,0.54,12.056,318.09,1.001,22.352,24.05
mango,Manipur,0.672,217.58,1.158,17.917,146.21,0.778,12.04,26.92
coffee,Maharashtra,0.552,177.35,0.771,1.012,97.9,0.426,0.559,23.23
mothbeans,Goa,1.811,25.89,0.248,0.591,46.89,0.449,1.07,27.24
blackgram,Goa,1.296,38.53,0.161,1.175,49.93,0.209,1.523,30.39
pomegranate,Ladakh,1.358,274.73,1.356,10.221,373.08,1.841,13.88,20.17
maize,Ladakh,2.755,111.81,0.659,4.486,308.04,1.816,12.359,22.88
mothbeans,Ladakh,3.62,37.09,0.24,1.138,134.27,0.869,4.12,22.71
cotton,Chandigarh,1.067,156.34,2.393,2.204,166.81,2.553,2.352,25.41
papaya,Madhya Pradesh,4.289,158.7,1.059,33.85,680.66,4.542,145.183,22.83
pigeonpeas,Kerala,4.81,33.74,0.191,0.986,162.29,0.919,4.743,25.28
